meanX,meanY,meanZ,stdX,stdY,stdZ,maxX,maxY,maxZ,minX,minY,minZ,medianX,medianY,medianZ,madX,madY,madZ,corrX,corrY,corrZ,part,label
1898.2890625,2388.0234375,2038.65625,30.0427916188,98.9793158098,54.9789419243,1961,2662,2207,1835,2249,1920,1901.0,2356.0,2029.0,24.5209960938,79.6851806641,42.7216796875,0.0124086958353,-0.0645200675134,0.233508426929,1,3
1887.3125,2397.1796875,2027.53125,34.0989181716,101.317807748,54.3722858857,1951,2713,2207,1768,2249,1902,1888.5,2369.5,2019.0,27.5888671875,82.4790039062,41.8173828125,0.0581015402943,-0.14937935693,0.261109928585,1,3
1891.375,2394.828125,2045.796875,47.8777971984,79.9056638059,49.4596565693,1981,2713,2177,1768,2282,1902,1887.5,2368.5,2052.0,41.283203125,61.2878417969,40.1220703125,-0.138511266079,0.109253567008,0.0992583967017,1,3
1908.0625,2380.6796875,2068.2578125,43.5296532109,54.7213317737,37.1600594352,1985,2588,2192,1806,2244,2004,1911.0,2366.0,2064.5,35.8095703125,39.2202148438,29.9735107422,-0.397298662081,-0.00669842704379,-0.245397668308,1,3
1911.7890625,2381.65625,2053.6875,22.2146480524,33.627987383,34.1556764861,1985,2494,2192,1846,2244,2004,1909.0,2386.0,2039.0,16.0118408203,20.2060546875,25.716796875,-0.326902082396,-0.235003681611,-0.196480775126,1,3
1901.421875,2384.9453125,2040.9921875,10.939784632,7.18737803731,8.16319384554,1929,2405,2061,1876,2363,2014,1901.0,2386.0,2040.0,8.92846679688,5.31237792969,6.14807128906,0.327860785958,-0.0899857317725,-0.24063523373,1,3
1892.1640625,2383.328125,2037.5546875,8.90613991851,6.37429554545,9.32172856951,1912,2404,2058,1870,2363,2019,1892.0,2383.0,2036.0,6.97375488281,4.60400390625,7.60668945312,0.0399605962659,0.263699937104,-0.189404404681,1,3
1888.0078125,2383.625,2032.0390625,6.2057835531,3.21169124137,3.93730861302,1908,2391,2039,1870,2377,2019,1888.0,2383.0,2032.0,4.60241699219,2.650390625,3.1064453125,0.0341235281474,0.113421311283,0.044132253762,1,3
1887.640625,2383.2421875,2032.7109375,3.4246314245,2.96368065945,3.61569706362,1895,2390,2041,1878,2375,2021,1888.0,2383.0,2032.0,2.8037109375,2.36999511719,2.93627929688,0.0218315602292,0.123812167643,-0.0279513405397,1,3
1888.0546875,2383.40625,2032.5625,3.43054504003,3.76146541221,4.45758664976,1904,2396,2043,1881,2371,2021,1888.0,2383.0,2032.0,2.62316894531,2.8818359375,3.6064453125,0.044030136854,0.0700602698532,-0.0757249744702,1,3
1893.6015625,2383.9375,2038.0625,8.97708354843,4.68159404847,8.82440245797,1918,2396,2063,1875,2371,2024,1891.0,2384.0,2036.0,7.32690429688,3.59765625,7.1796875,0.0325647887926,0.759714155738,0.000667091280607,1,3
1897.25,2384.4609375,2037.46875,7.15739802279,3.94829245211,8.94509719229,1918,2395,2063,1875,2371,2024,1896.0,2384.0,2035.0,5.42578125,2.96691894531,7.18701171875,0.0167876090841,0.638420869307,-0.0784007545117,1,3
1893.234375,2384.1484375,2033.53125,3.96933992609,3.38381940414,4.29784326063,1905,2392,2046,1883,2375,2024,1893.0,2384.0,2034.0,3.16259765625,2.67333984375,3.45751953125,0.265884480686,-0.15643972189,-0.256144915889,1,3
1893.53125,2384.6328125,2034.5859375,4.94208585502,4.32875587908,4.24732865328,1907,2394,2049,1883,2375,2026,1893.0,2385.0,2035.0,3.95703125,3.58752441406,3.25622558594,0.280084916479,-0.345426832763,-0.269150757293,1,3
1892.4609375,2384.8046875,2032.0703125,6.32941183936,3.93662110551,4.25410148317,1907,2394,2049,1876,2375,2022,1892.0,2385.0,2031.0,5.18444824219,3.19494628906,3.22631835938,0.393921564479,-0.0380595839587,-0.0800445942689,1,3
1889.1640625,2383.5234375,2029.5546875,5.37679081136,3.50918893595,3.4431458646,1907,2395,2038,1876,2375,2022,1889.0,2383.0,2029.0,4.31494140625,2.82177734375,2.75085449219,0.148985535893,-0.224420421554,0.048769051572,1,3
1889.71875,2383.5625,2028.625,4.64306696766,3.35732833415,3.02222736863,1907,2395,2037,1876,2375,2022,1889.0,2383.0,2029.0,3.54931640625,2.62890625,2.37890625,-0.0493758155255,-0.259523048712,-0.0178485592484,1,3
1890.8046875,2384.578125,2028.03125,3.46423479808,2.7252374743,3.05317054776,1901,2390,2037,1882,2377,2021,1891.0,2384.0,2028.0,2.68579101562,2.20556640625,2.42333984375,0.0529221674356,-0.0277076490421,-0.148868939772,1,3
1891.96875,2384.953125,2028.1875,3.33423544223,2.60483915202,3.10638154437,1901,2391,2038,1885,2379,2021,1892.0,2385.0,2028.0,2.73583984375,2.05346679688,2.3896484375,-0.000169988826789,0.119926341719,-0.0212867143587,1,3
1891.71875,2384.84375,2028.5390625,3.2408259373,2.86009057728,3.08387307293,1899,2392,2038,1884,2378,2022,1891.0,2385.0,2028.5,2.66748046875,2.2490234375,2.4296875,0.0453417913302,0.276067906564,-0.0376899331939,1,3
1892.3515625,2385.1171875,2026.1640625,4.94790155751,3.19847673821,4.44170880033,1910,2394,2036,1884,2377,2013,1891.0,2385.0,2027.0,3.48083496094,2.51696777344,3.55493164062,0.1720143902,0.132068950641,0.043530004568,1,3
1895.921875,2385.2578125,2021.421875,5.5424054231,3.20001499443,4.97491245521,1910,2394,2032,1884,2377,2011,1895.0,2385.0,2021.0,4.65258789062,2.48864746094,4.15551757812,0.102811929103,0.0214802166469,0.19540776027,1,3
1897.890625,2385.5546875,2020.90625,3.57205773423,3.06570718293,5.06716697005,1907,2393,2036,1888,2378,2011,1898.0,2386.0,2020.0,2.873046875,2.41064453125,3.97998046875,0.0142120815058,-0.0149267395838,-0.00169486141171,1,3
1896.7734375,2385.453125,2026.15625,3.34432141523,2.95600116938,5.11049175562,1905,2393,2036,1888,2378,2011,1897.0,2386.0,2027.0,2.74572753906,2.31689453125,4.16796875,-0.0134284268698,-0.324554257001,-0.267944538627,1,3
